"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"LAMR","5431","1998-01-02","2019-08-02","42","2009-05-07","2019-08-07"
"LANC","5431","1998-01-02","2019-08-02","40","2009-08-20","2019-04-25"
"LAND","1640","2013-01-29","2019-08-02","28","2013-03-27","2019-08-07"
"LANDP","746","2016-08-12","2019-08-02","0","NULL","NULL"
"LAQ","4610","2000-01-03","2018-06-06","0","NULL","NULL"
"LARK","5431","1998-01-02","2019-08-02","35","2009-10-30","2018-10-30"
"LASR","327","2018-04-26","2019-08-13","3","2019-02-20","2019-08-05"
"LAUR","630","2017-02-01","2019-08-02","11","2017-03-28","2019-08-08"
"LAWS","5431","1998-01-02","2019-08-02","41","2009-07-29","2019-07-25"
"LAYN","4642","2000-01-03","2018-06-14","0","NULL","NULL"
"LAZ","3595","2005-05-05","2019-08-15","41","2009-07-29","2019-07-25"
"LAZY","355","2018-03-16","2019-08-13","3","2019-03-21","2019-08-13"
"LB","5440","1998-01-02","2019-08-15","23","2014-02-26","2019-08-21"
"LBAI","5179","1999-01-04","2019-08-02","41","2009-07-23","2019-07-26"
"LBC","4675","2001-01-02","2019-08-02","7","2018-01-25","2019-07-29"
"LBCC","2455","2009-10-30","2019-08-02","0","NULL","NULL"
"LBIX","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"LBRDA","1194","2014-11-04","2019-08-02","17","2015-05-14","2019-08-08"
"LBRDK","1194","2014-11-04","2019-08-02","17","2015-05-14","2019-08-08"
"LBRT","401","2018-01-11","2019-08-15","7","2018-03-12","2019-07-30"
"LBTYA","3818","2004-06-03","2019-08-02","41","2009-05-05","2019-05-06"
"LBTYB","3801","2004-06-09","2019-08-02","39","2009-05-05","2018-11-07"
"LBTYK","3499","2005-09-08","2019-08-02","31","2011-05-04","2018-11-07"
"LBY","5436","1998-01-02","2019-08-09","39","2010-02-10","2019-08-01"
"LC","1177","2014-12-11","2019-08-15","19","2015-02-24","2019-08-06"
"LCA","681","2016-08-18","2019-05-03","0","NULL","NULL"
"LCAHU","680","2016-05-26","2019-08-01","0","NULL","NULL"
"LCAHW","402","2016-09-07","2018-08-13","0","NULL","NULL"
"LCI","5440","1998-01-02","2019-08-15","40","2009-05-12","2019-05-06"
"LCII","5440","1998-01-02","2019-08-15","23","2014-02-13","2019-08-06"
"LCM","3410","2005-01-27","2018-08-13","0","NULL","NULL"
"LCNB","4974","1999-10-26","2019-08-02","40","2009-10-19","2019-07-22"
"LCUT","5431","1998-01-02","2019-08-02","39","2009-05-07","2018-11-08"
"LDF","5257","1998-01-02","2019-02-25","0","NULL","NULL"
"LDL","5440","1998-01-02","2019-08-15","41","2009-08-03","2019-07-30"
"LDOS","3231","2006-10-13","2019-08-15","24","2013-12-10","2019-07-30"
"LDP","1773","2012-07-30","2019-08-15","0","NULL","NULL"
"LDRI","1233","2014-09-10","2019-08-02","0","NULL","NULL"
"LDSF","152","2019-01-07","2019-08-13","0","NULL","NULL"
"LE","1353","2014-03-20","2019-08-02","21","2014-06-12","2019-06-04"
"LEA","2458","2009-11-09","2019-08-15","39","2010-02-05","2019-07-26"
"LEAF","785","2013-10-16","2019-08-13","19","2014-02-25","2019-08-05"
"LECO","5431","1998-01-02","2019-08-02","41","2009-07-28","2019-07-23"
"LEDS","2176","2010-12-09","2019-08-02","32","2011-04-05","2019-01-10"
"LEE","5440","1998-01-02","2019-08-15","39","2009-05-07","2018-12-14"
"LEG","5440","1998-01-02","2019-08-15","41","2009-07-23","2019-07-29"
"LEGH","166","2018-12-14","2019-08-13","3","2019-04-08","2019-08-13"
"LEGR","390","2018-01-25","2019-08-13","0","NULL","NULL"
"LEJU","1342","2014-04-17","2019-08-15","20","2014-05-20","2019-03-18"
"LEN","5440","1998-01-02","2019-08-15","41","2009-06-25","2019-06-25"
"LENS","1136","2015-01-29","2019-08-02","13","2015-05-15","2018-11-13"
"LEO","4684","2001-01-02","2019-08-15","0","NULL","NULL"
"LEU","5297","1998-07-23","2019-08-09","17","2014-11-14","2018-11-07"
"LEVB","363","2017-11-17","2019-06-28","3","2018-05-16","2018-12-13"
"LEVI","96","2019-03-21","2019-08-06","1","2019-07-09","2019-07-09"
"LEVL","331","2018-04-20","2019-08-13","3","2019-01-30","2019-07-30"
"LEXEA","684","2016-11-04","2019-07-26","6","2017-05-03","2019-05-03"
"LEXEB","645","2016-12-07","2019-07-26","2","2018-08-02","2018-11-01"
"LFAC","278","2018-06-29","2019-08-13","0","NULL","NULL"
"LFACU","281","2018-06-20","2019-08-12","0","NULL","NULL"
"LFACW","158","2018-06-29","2019-08-13","0","NULL","NULL"
"LFC","3942","2003-12-17","2019-08-15","32","2010-04-29","2018-10-25"
"LFGR","1883","2011-01-26","2018-07-19","0","NULL","NULL"
"LFIN","412","2017-12-12","2019-08-02","1","2018-08-13","2018-08-13"
"LFUS","5431","1998-01-02","2019-08-02","41","2009-07-30","2019-07-31"
"LFVN","4675","2001-01-02","2019-08-02","40","2009-05-15","2019-08-14"
"LGC","422","2017-12-01","2019-08-14","0","NULL","NULL"
"LGCY","3137","2007-01-12","2019-06-28","43","2009-05-06","2019-05-09"
"LGCYO","1078","2014-06-12","2018-09-20","0","NULL","NULL"
"LGCYP","1119","2014-04-14","2018-09-20","0","NULL","NULL"
"LGI","3846","2004-05-06","2019-08-15","0","NULL","NULL"
"LGIH","1443","2013-11-07","2019-08-02","22","2014-05-15","2019-08-06"
"LGL","5436","1998-01-02","2019-08-09","39","2009-05-20","2018-11-07"
"LGND","5431","1998-01-02","2019-08-02","42","2009-05-06","2019-07-30"
"LH","5440","1998-01-02","2019-08-15","41","2009-07-23","2019-07-25"
"LHC","325","2018-04-16","2019-08-13","0","NULL","NULL"
"LHCG","3562","2005-06-09","2019-08-02","42","2009-05-06","2019-08-07"
"LHO","5190","1998-04-24","2019-04-11","0","NULL","NULL"
"LIFE","5097","1999-02-26","2019-08-02","18","2015-06-18","2019-08-14"
"LII","5045","1999-07-29","2019-08-15","41","2009-07-22","2019-07-22"
"LILA","1029","2015-07-02","2019-08-02","17","2015-11-05","2019-08-06"
"LILAK","1029","2015-07-02","2019-08-02","13","2015-11-05","2019-02-21"
"LIN","199","2018-10-01","2019-08-13","4","2014-02-06","2014-11-06"
"LINC","3552","2005-06-23","2019-08-02","43","2009-05-06","2019-08-14"
"LIND","1025","2015-07-09","2019-08-02","12","2016-11-04","2019-08-01"
"LINDW","944","2015-07-09","2019-08-01","0","NULL","NULL"
"LINK","3018","2007-06-13","2019-08-02","38","2009-06-11","2018-11-08"
"LINU","2442","2008-09-09","2019-07-09","0","NULL","NULL"
"LION","5407","1998-01-02","2019-06-28","39","2009-10-15","2019-04-18"
"LIQT","1998","2011-08-31","2019-08-09","23","2014-03-27","2019-08-14"
"LITB","1560","2013-06-06","2019-08-15","22","2013-08-19","2018-12-14"
"LITE","1007","2015-08-04","2019-08-02","16","2015-11-10","2019-08-08"
"LIVE","4675","2001-01-02","2019-08-02","32","2009-05-18","2018-12-27"
"LIVN","954","2015-10-19","2019-08-02","14","2016-05-04","2019-07-31"
"LIVX","472","2017-08-18","2019-08-13","4","2017-02-13","2019-08-06"
"LJPC","4675","2001-01-02","2019-08-02","34","2009-08-17","2019-08-07"
"LK","58","2019-05-17","2019-08-08","1","2019-08-14","2019-08-14"
"LKCO","170","2018-08-23","2019-08-13","0","NULL","NULL"
"LKFN","5431","1998-01-02","2019-08-02","41","2009-07-27","2019-07-25"
"LKOR","971","2015-09-24","2019-08-02","0","NULL","NULL"
"LKQ","3985","2003-10-03","2019-08-02","29","2012-07-26","2019-07-25"
"LKSD","722","2016-10-03","2019-08-15","13","2016-11-10","2019-08-08"
"LL","2961","2007-11-09","2019-08-15","43","2009-05-06","2019-08-07"
"LLEX","2459","2009-10-26","2019-08-02","17","2015-05-05","2019-08-08"
"LLIT","2337","2010-04-22","2019-08-02","0","NULL","NULL"
"LLL","5313","1998-05-19","2019-06-28","40","2009-07-23","2019-05-01"
"LLNW","3060","2007-06-08","2019-08-02","42","2009-05-06","2019-07-17"
"LLY","5440","1998-01-02","2019-08-15","41","2009-07-22","2019-07-30"
"LM","5440","1998-01-02","2019-08-15","42","2009-05-05","2019-08-01"
"LMAT","3218","2006-10-19","2019-08-02","41","2009-07-29","2019-07-24"
"LMB","890","2016-01-21","2019-08-02","11","2017-04-17","2019-08-14"
"LMBS","1193","2014-11-05","2019-08-02","0","NULL","NULL"
"LMFA","919","2015-12-08","2019-08-02","10","2016-05-12","2018-11-14"
"LMFAW","662","2015-12-10","2019-08-02","0","NULL","NULL"
"LMHA","855","2016-03-24","2019-08-15","0","NULL","NULL"
"LMHB","755","2016-08-16","2019-08-15","0","NULL","NULL"
"LMNR","4463","2001-11-08","2019-08-02","36","2010-09-13","2019-06-10"
"LMNX","4861","2000-04-06","2019-08-02","42","2009-05-07","2019-07-31"
"LMRK","1186","2014-11-14","2019-08-02","19","2015-02-26","2019-08-07"
"LMRKN","331","2018-04-20","2019-08-13","0","NULL","NULL"
"LMRKO","754","2016-08-04","2019-08-02","0","NULL","NULL"
"LMRKP","841","2016-04-01","2019-08-02","0","NULL","NULL"
"LMST","3242","2006-09-22","2019-08-13","16","2014-01-30","2018-01-24"
"LMT","5440","1998-01-02","2019-08-15","41","2009-07-21","2019-07-23"
"LN","778","2016-07-14","2019-08-15","8","2016-07-27","2019-07-24"
"LNC","5440","1998-01-02","2019-08-15","42","2009-05-05","2019-07-31"
"LNCE","5098","1998-01-02","2019-05-17","0","NULL","NULL"
"LND","1825","2012-05-15","2019-08-15","5","2017-11-06","2019-02-05"
"LNDC","5431","1998-01-02","2019-08-02","41","2009-07-28","2019-07-30"
"LNG","5436","1998-01-02","2019-08-09","41","2009-05-08","2019-08-08"
"LNGR","814","2016-05-10","2019-08-02","0","NULL","NULL"
"LNN","5440","1998-01-02","2019-08-15","41","2009-07-01","2019-07-09"
"LNT","5440","1998-01-02","2019-08-15","41","2009-08-06","2019-08-01"
"LNTH","1034","2015-06-25","2019-08-02","18","2015-08-04","2019-07-25"
"LOAC","197","2018-10-16","2019-08-12","0","NULL","NULL"
"LOACR","50","2018-10-15","2019-07-25","0","NULL","NULL"
"LOACU","230","2018-08-29","2019-08-12","0","NULL","NULL"
"LOACW","96","2018-10-15","2019-08-13","0","NULL","NULL"
"LOAN","5089","1999-05-13","2019-08-02","42","2009-05-12","2019-07-26"
